PO_NUMBER,ITEM_NUMBER,DESCRIPTION,QTY,UNIT_PRICE,TOTAL
17633,AAN1828,"1/150 Convair Space Shuttlecraft w/Launching Pad, Figures & Base (formerly Revell)",1,24.99,24.99
17633,AAN244,1/136 Martin P6M Seamaster Seaplane (formerly Revell),1,21.99,21.99
17633,AAN451,1/8 Phantom of the Opera Figure,1,32.99,32.99
17633,AAN505,1/72 HH3E Jolly Green Giant US Army Vietnam Helicopter (formerly Aurora),1,21.99,21.99
